,JPY/USD
2017/8/8,110.48
2017/8/9,109.9
2017/8/10,109.39
2017/8/11,109.07
2017/8/14,109.62
2017/8/15,110.53
2017/8/16,110.62
2017/8/17,109.88
2017/8/18,109.06
2017/8/21,108.87
2017/8/22,109.43
2017/8/23,109.06
2017/8/24,109.33
2017/8/25,109.39
2017/8/28,109.2
2017/8/29,109.02
2017/8/30,110.28
2017/8/31,110.16
2017/9/1,110.13
2017/9/5,108.9
2017/9/6,109.01
2017/9/7,108.56
2017/9/8,107.74
2017/9/11,109.06
2017/9/12,110.04
2017/9/13,110.49
2017/9/14,110.59
2017/9/15,110.95
2017/9/18,111.46
2017/9/19,111.51
2017/9/20,111.57
2017/9/21,112.38
2017/9/22,112.07
2017/9/25,111.89
2017/9/26,112.15
2017/9/27,112.84
2017/9/28,112.57
2017/9/29,112.53
2017/10/2,112.66
2017/10/3,112.92
2017/10/4,112.73
2017/10/5,112.74
2017/10/6,112.85
2017/10/10,112.22
2017/10/11,112.29
2017/10/12,112.26
2017/10/13,111.89
2017/10/16,111.87
2017/10/17,112.34
2017/10/18,112.89
2017/10/19,112.52
2017/10/20,113.42
2017/10/23,113.71
2017/10/24,113.9
2017/10/25,113.82
2017/10/26,113.85
2017/10/27,113.93
2017/10/30,113.3
2017/10/31,113.59
2017/11/1,114.03
2017/11/2,113.97
2017/11/3,114.17
2017/11/6,113.91
2017/11/7,114.05
2017/11/8,113.65
2017/11/9,113.32
2017/11/10,113.44
2017/11/14,113.48
2017/11/15,112.94
2017/11/16,112.99
2017/11/17,112.23
2017/11/20,112.42
2017/11/21,112.38
2017/11/22,111.56
2017/11/23,111.24
2017/11/24,111.47
2017/11/27,111.03
2017/11/28,111.27
2017/11/29,111.86
2017/11/30,112.36
2017/12/1,112.25
2017/12/4,112.74
2017/12/5,112.71
2017/12/6,112.2
2017/12/7,112.76
2017/12/8,113.5
2017/12/11,113.45
2017/12/12,113.6
2017/12/13,113.03
2017/12/14,112.52
2017/12/15,112.58
2017/12/18,112.46
2017/12/19,112.94
2017/12/20,113.35
2017/12/21,113.39
2017/12/22,113.41
2017/12/27,113.27
2017/12/28,112.9
2017/12/29,112.61
